file,section,section_title,anselm_text,vulgate_book,chapter,verse,vulgate_text,method,allusion_type,ngram_score,llm_confidence,llm_explanation,similarity,verified,judge_reasoning
Monologion,21,QUOD IN NULLO SIT LOCO AUT TEMPORE.,"aliquo loco, nihil est de eo quod sit eodem tempore",Daniel,5,29,"Tunc, jubente rege, indutus est Daniel purpura, et circumdata est torques aurea collo ejus: et praedicatum est de eo quod haberet potestatem tertius in regno suo.",ngram,direct_quote,1,,,0.0259,True,
Monologion,31,QUOD IPSUM VERBUM NON SIT SIMILITUDO FACTORUM SED VERITAS,"similitudo eorum, quae per ipsum facta sunt? Si enim ipsum",John,1,3,"Omnia per ipsum facta sunt: et sine ipso factum est nihil, quod factum est.",ngram,direct_quote,1,,,0.0392,True,
Monologion,31,QUOD IPSUM VERBUM NON SIT SIMILITUDO FACTORUM SED VERITAS,incommutabilitati; quod falsum est. Si autem non omnino uera sed,Daniel,13,22,"Ingemuit Susanna, et ait: Angustiae sunt mihi undique: si enim hoc egero, mors mihi est: si autem non egero, non effugiam manus vestras.",ngram,direct_quote,1,,,0.0342,True,
Monologion,35,"QUOD, QUIDQUID FACTUM EST, IN EIUS VERBO ET SCIENTIA SIT VITA","necessario consequitur, ut omnia quae sunt in illo, eadem et",1 Samuel,9,19,"Et respondit Samuel Sauli, dicens: Ego sum videns: ascende ante me in excelsum, ut comedatis mecum hodie, et dimittam te mane: et omnia quae sunt in corde tuo indicabo tibi.",ngram,direct_quote,1,,,0.0769,True,
Monologion,35,"QUOD, QUIDQUID FACTUM EST, IN EIUS VERBO ET SCIENTIA SIT VITA","necessario consequitur, ut omnia quae sunt in illo, eadem et",2 Kings,20,17,"Ecce dies venient, et auferentur omnia quae sunt in domo tua, et quae condiderunt patres tui usque in diem hanc, in Babylonem: non remanebit quidquam, ait Dominus.",ngram,direct_quote,1,,,0.0811,True,
Monologion,36,QUAM INCOMPREHENSIBILI MODO DICAT UEL SCIAT RES A SE FACTAS.,"uel quomodo sciat ea quae facta sunt, ab humana scientia",Romans,1,20,"Invisibilia enim ipsius, a creatura mundi, per ea quae facta sunt, intellecta, conspiciuntur: sempiterna quoque ejus virtus, et divinitas: ita ut sint inexcusabiles.",ngram,direct_quote,1,,,0.0762,True,
Monologion,38,"QUOD DICI NON POSSIT, QUID DUO SINT, QUAMVIS NECESSE SIT ESSE",cuius est uerbum. Ut in eo quod significat uel quid,1 Peter,2,12,"conversationem vestram inter gentes habentes bonam: ut in eo quod detrectant de vobis tamquam de malefactoribus, ex bonis operibus vos considerantes, glorificent Deum in die visitationis.",ngram,direct_quote,1,,,0.0361,True,
Monologion,38,"QUOD DICI NON POSSIT, QUID DUO SINT, QUAMVIS NECESSE SIT ESSE",cuius est uerbum. Ut in eo quod significat uel quid,1 Peter,3,16,"Sed cum modestia, et timore, conscientiam habentes bonam: ut in eo, quod detrahunt vobis, confundantur, qui calumniantur vestram bonam in Christo conversationem.",ngram,direct_quote,1,,,0.0435,True,
Monologion,43,RETRACTATIO COMMUNIONIS AMBORUM ET PROPRIETATUM SINGULORUM.,"singulorum propria: ita non sunt duo sed unus spiritus, quamuis",Matthew,19,6,"Itaque jam non sunt duo, sed una caro. Quod ergo Deus conjunxit, homo non separet.",ngram,direct_quote,1,,,0.042,True,
Monologion,43,RETRACTATIO COMMUNIONIS AMBORUM ET PROPRIETATUM SINGULORUM.,"singulorum propria: ita non sunt duo sed unus spiritus, quamuis",Mark,10,8,"et erunt duo in carne una. Itaque jam non sunt duo, sed una caro.",ngram,direct_quote,1,,,0.05,True,
Monologion,44,QUOMODO ALTER ALTERIUS SIT ESSENTIA.,"patre habeas esse. ""Sicut enim pater habet"" essentiam et sapientiam",John,5,26,"Sicut enim Pater habet vitam in semetipso, sic dedit et Filio habere vitam in semetipso:",ngram,direct_quote,1,,,0.0655,True,
Monologion,47,QUOD FILIUS SIT INTELLIGENTIA INTELLIGENTIAE ET VERITAS VERITATIS,"substantia patris est intelligentia et scientia et sapientia et ueritas, consequenter colligitur quia sicut filius est intelligentia et scientia et sapientia et ueritas",Exodus,35,31,"implevitque eum spiritu Dei, sapientia et intelligentia, et scientia et omni doctrina,",ngram,direct_quote,2,,,0.125,True,
Monologion,64,"QUOD HOC, LICET INEXPLICABILE SIT, TAMEN CREDENDUM SIT.",et generatur filius: Generationem eius quis enarrabit?,Isaiah,53,8,"De angustia, et de judicio sublatus est. Generationem ejus quis enarrabit? quia abscissus est de terra viventium: propter scelus populi mei percussi eum.",ngram,direct_quote,1,,,0.0473,True,
Monologion,64,"QUOD HOC, LICET INEXPLICABILE SIT, TAMEN CREDENDUM SIT.",et generatur filius: Generationem eius quis enarrabit?,Acts,8,33,In humilitate judicium ejus sublatum est. Generationem ejus quis enarrabit? quoniam tolletur de terra vita ejus.],ngram,direct_quote,1,,,0.0493,True,
Monologion,65,QUOMODO DE INEFFABILI RE VERUM DISPUTATUM SIT.,de illa secundum patris et filii et procedentis habitudinem disputatum,Matthew,28,19,"euntes ergo docete omnes gentes: baptizantes eos in nomine Patris, et Filii, et Spiritus Sancti:",ngram,direct_quote,1,,,0.0215,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"domine, obliuisceris"" nos, ""usquequo auertis faciem tuam"" a nobis? Quando respicies",Psalms,12,1,"In finem. Psalmus David. [Usquequo, Domine, oblivisceris me in finem? usquequo avertis faciem tuam a me?",ngram,direct_quote,2,,,0.021,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"quae te iuuent ad quaerendum eum, et ""clauso ostio"" quaere",1 Samuel,23,25,"Ivit ergo Saul et socii ejus ad quaerendum eum. Et nuntiatum est David: statimque descendit ad petram, et versabatur in deserto Maon: quod cum audisset Saul, persecutus est David in deserto Maon.",ngram,direct_quote,1,,,0.0205,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"Eia nunc ergo tu, domine deus meus, doce cor meum",Psalms,39,6,"Multa fecisti tu, Domine Deus meus, mirabilia tua; et cogitationibus tuis non est qui similis sit tibi. Annuntiavi et locutus sum: multiplicati sunt super numerum.",ngram,direct_quote,1,,,0.0345,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"ignorat uultum tuum. Domine, deus meus es, et dominus meus",Isaiah,25,1,"Domine, Deus meus es tu; exaltabo te, et confitebor nomini tuo: quoniam fecisti mirabilia, cogitationes antiquas fideles. Amen.",ngram,direct_quote,1,,,0.0183,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"et cogor rugire ""a gemitu cordis mei"". Sperabatur laetitia, et",Psalms,37,9,"Afflictus sum, et humiliatus sum nimis; rugiebam a gemitu cordis mei.",ngram,direct_quote,1,,,0.0163,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"obliuisceris"" nos, ""usquequo auertis faciem tuam"" a nobis? Quando respicies",Psalms,87,15,"Ut quid, Domine, repellis orationem meam; avertis faciem tuam a me?",ngram,direct_quote,1,,,0.0186,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"nos, ""usquequo auertis faciem tuam"" a nobis? Quando respicies et",Isaiah,64,7,"Non est qui invocet nomen tuum; qui consurgat, et teneat te. Abscondisti faciem tuam a nobis, et allisisti nos in manu iniquitatis nostrae.",ngram,direct_quote,1,,,0.0276,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"Restitue te nobis, ut bene sit nobis, sine quo tam",Deuteronomy,6,24,"Praecepitque nobis Dominus ut faciamus omnia legitima haec, et timeamus Dominum Deum nostrum, ut bene sit nobis cunctis diebus vitae nostrae, sicut est hodie.",ngram,direct_quote,1,,,0.0228,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"Restitue te nobis, ut bene sit nobis, sine quo tam",Jeremiah,42,6,"sive bonum est, sive malum, voci Domini Dei nostri, ad quem mittimus te, obediemus, ut bene sit nobis cum audierimus vocem Domini Dei nostri.",ngram,direct_quote,1,,,0.0253,True,
Proslogion,1,EXCITATIO MENTIS AD CONTEMPLANDUM DEUM.,"meum"" obuoluunt me, ""et sicut onus graue"" grauant me. Euolue",Psalms,37,5,"quoniam iniquitates meae supergressae sunt caput meum, et sicut onus grave gravatae sunt super me.",ngram,direct_quote,1,,,0.0256,True,
Proslogion,2,QUOD VERE SIT DEUS.,"talis natura, quia ""dixit insipiens in corde quo: non est",Psalms,13,1,"In finem. Psalmus David. [Dixit insipiens in corde suo: Non est Deus. Corrupti sunt, et abominabiles facti sunt in studiis suis; non est qui faciat bonum, non est usque ad unum.",ngram,direct_quote,1,,,0.0918,True,
Proslogion,2,QUOD VERE SIT DEUS.,"talis natura, quia ""dixit insipiens in corde quo: non est",Psalms,52,1,"In finem, pro Maeleth intelligentiae David. [Dixit insipiens in corde suo: Non est Deus.",ngram,direct_quote,1,,,0.0787,True,
Proslogion,3,QUOD NON POSSIT COGITARI NON ESSE.,"esse. Cur itaque ""dixit insipiens in corde quo: non est",Psalms,13,1,"In finem. Psalmus David. [Dixit insipiens in corde suo: Non est Deus. Corrupti sunt, et abominabiles facti sunt in studiis suis; non est qui faciat bonum, non est usque ad unum.",ngram,direct_quote,1,,,0.0833,True,
Proslogion,3,QUOD NON POSSIT COGITARI NON ESSE.,"esse. Cur itaque ""dixit insipiens in corde quo: non est",Psalms,52,1,"In finem, pro Maeleth intelligentiae David. [Dixit insipiens in corde suo: Non est Deus.",ngram,direct_quote,1,,,0.0814,True,
Proslogion,9,QUOMODO TOTUS IUSTUS ET SUMME IUSTUS PARCAT MALIS; ET QUOD IUSTE,"omnem intellectum excedis, ueniat super me misericordia illa, quae de",Psalms,118,41,"Et veniat super me misericordia tua, Domine; salutare tuum secundum eloquium tuum.",ngram,direct_quote,1,,,0.0298,True,
Proslogion,11,"QUOMODO ""UNIVERSAE VIAE DOMINI MISERICORDIA ET VERITAS"", ET TAMEN","""IUSTUS DOMINUS IN OMNIBUS VIIS SUIS"". Sed numquid etiam non est iustum secundum te, domine, ut malos punias? Iustum quippe est te sic esse iustum, ut iustior nequeas cogitari. Quod nequaquam esses, si tantum bonis bona, et non malis mala redderes. Iustior enim est qui et bonis et malis, quam qui bonis tantum merita retribuit. Iustum igitur est secundum te, iuste et benigne deus, et cum s punis et cum parcis. Vere igitur ""uniuersoe uiae domini misericordia et ueritas"", et tamen ""iustus dominus in omnibus uiis suis"". Et utique sine repugnantia;",Psalms,144,17,"Justus Dominus in omnibus viis suis, et sanctus in omnibus operibus suis.",ngram,direct_quote,7,,,0.0593,True,
Proslogion,11,"QUOMODO ""UNIVERSAE VIAE DOMINI MISERICORDIA ET VERITAS"", ET TAMEN","""IUSTUS DOMINUS IN OMNIBUS VIIS SUIS"". Sed numquid etiam non est iustum secundum te, domine, ut malos punias? Iustum quippe est te sic esse iustum, ut iustior nequeas cogitari. Quod nequaquam esses, si tantum bonis bona, et non malis mala redderes. Iustior enim est qui et bonis et malis, quam qui bonis tantum merita retribuit. Iustum igitur est secundum te, iuste et benigne deus, et cum s punis et cum parcis. Vere igitur ""uniuersoe uiae domini misericordia et ueritas"", et tamen ""iustus dominus in omnibus uiis suis"". Et utique sine",James,1,8,Vir duplex animo inconstans est in omnibus viis suis.,ngram,direct_quote,2,,,0.0417,True,
Proslogion,11,"QUOMODO ""UNIVERSAE VIAE DOMINI MISERICORDIA ET VERITAS"", ET TAMEN","Vere igitur ""uniuersoe uiae domini misericordia et ueritas"", et tamen ""iustus",Psalms,24,10,"Universae viae Domini, misericordia et veritas, requirentibus testamentum ejus et testimonia ejus.",ngram,direct_quote,2,,,0.0413,True,
Proslogion,11,"QUOMODO ""UNIVERSAE VIAE DOMINI MISERICORDIA ET VERITAS"", ET TAMEN","""uniuersoe uiae domini misericordia et ueritas"", et tamen ""iustus dominus",Tobias,3,2,"dicens: [Justus es, Domine, et omnia judicia tua justa sunt, et omnes viae tuae, misericordia, et veritas, et judicium.",ngram,direct_quote,1,,,0.0645,True,
Proslogion,14,QUOMODO ET CUR UIDETUR ET NON VIDETUR DEUS A QUAERENTIBUS EUM.,"Si uero inuenisti: quid est, quod non sentis quod inuenisti?",1 Samuel,14,41,"Et dixit Saul ad Dominum Deum Israel: Domine Deus Israel, da indicium: quid est quod non responderis servo tuo hodie? si in me, aut in Jonatha filio meo, est iniquitas haec, da ostensionem: aut si haec iniquitas est in populo tuo, da sanctitatem. Et deprehensus est Jonathas et Saul: populus autem exivit.",ngram,direct_quote,1,,,0.0663,True,
Proslogion,14,QUOMODO ET CUR UIDETUR ET NON VIDETUR DEUS A QUAERENTIBUS EUM.,"te, nisi per ""lucem tuam et ueritatem tuam""? Si ergo",Psalms,42,3,"Emitte lucem tuam et veritatem tuam: ipsa me deduxerunt, et adduxerunt in montem sanctum tuum, et in tabernacula tua.",ngram,direct_quote,1,,,0.0424,True,
Proslogion,14,QUOMODO ET CUR UIDETUR ET NON VIDETUR DEUS A QUAERENTIBUS EUM.,"qua est omne quod uerum est, et extra quam non",1 John,2,8,"Iterum mandatum novum scribo vobis, quod verum est et in ipso, et in vobis: quia tenebrae transierunt, et verum lumen jam lucet.",ngram,direct_quote,1,,,0.0419,True,
Proslogion,15,QUOD MAIOR SIT QUAM COGITARI POSSIT.,"esse aliquid huiusmodi: si tu non es hoc ipsum, potest",John,1,25,"Et interrogaverunt eum, et dixerunt ei: Quid ergo baptizas, si tu non es Christus, neque Elias, neque propheta?",ngram,direct_quote,1,,,0.1316,True,
Proslogion,18,"QUOD IN DEO NEC IN AETERNITATE EIUS, QUAE IPSE EST, NULLAE SINT","quaerimus. Adiuua me tu ""propter bonitatem tuam, domine"". ""Quaesiui uultum tuum,",Psalms,24,7,"Delicta juventutis meae, et ignorantias meas, ne memineris. Secundum misericordiam tuam memento mei tu, propter bonitatem tuam, Domine.",ngram,direct_quote,2,,,0.0455,True,
Proslogion,18,"QUOD IN DEO NEC IN AETERNITATE EIUS, QUAE IPSE EST, NULLAE SINT","tuum, domine, requiem; ne auertas faciem tuam a me"". Releua",Psalms,26,9,"Ne avertas faciem tuam a me; ne declines in ira a servo tuo. Adjutor meus esto; ne derelinquas me, neque despicias me, Deus salutaris meus.",ngram,direct_quote,1,,,0.0398,True,
Proslogion,18,"QUOD IN DEO NEC IN AETERNITATE EIUS, QUAE IPSE EST, NULLAE SINT","tuum, domine, requiem; ne auertas faciem tuam a me"". Releua",Psalms,68,18,"Et ne avertas faciem tuam a puero tuo; quoniam tribulor, velociter exaudi me.",ngram,direct_quote,1,,,0.041,True,
Proslogion,19,QUOD NON SIT IN LOCO AUT TEMPORE SED OMNIA SINT IN ILLO.,cras es. Immo nec heri nec hodie nec cras es,Exodus,5,14,"Flagellatique sunt qui praeerant operibus filiorum Israel, ab exactoribus Pharaonis, dicentibus: Quare non impletis mensuram laterum sicut prius, nec heri, nec hodie?",ngram,direct_quote,1,,,0.0667,True,
Proslogion,19,QUOD NON SIT IN LOCO AUT TEMPORE SED OMNIA SINT IN ILLO.,cras es. Immo nec heri nec hodie nec cras es,1 Samuel,20,27,"Cumque illuxisset dies secunda post calendas, rursus apparuit vacuus locus David. Dixitque Saul ad Jonathan filium suum: Cur non venit filius Isai nec heri nec hodie ad vescendum?",ngram,direct_quote,1,,,0.0494,True,
Proslogion,23,QUOD HOC BONUM SIT PARITER PATER ET FILIUS ET SPIRITUS SANCTUS; ET,"aliud esse potest. ""Porro unum est necessarium"". Porro hoc est",Luke,10,42,"porro unum est necessarium. Maria optimam partem elegit, quae non auferetur ab ea.",ngram,direct_quote,1,,,0.0673,True,
Proslogion,25,QUAE ET QUANTA BONA SINT FRUENTIBUS EO.,"qualia ""nec oculus uidit nec auris audiuit nec cor hominis"" cogitauit.",1 Corinthians,2,9,"Sed sicut scriptum est: Quod oculus non vidit, nec auris audivit, nec in cor hominis ascendit, quae praeparavit Deus iis qui diligunt illum:",ngram,direct_quote,2,,,0.0498,True,
Proslogion,25,QUAE ET QUANTA BONA SINT FRUENTIBUS EO.,"dei. Si ebrietas: ""inebriabuntur ab ubertate domus"" dei. Si melodia:",Psalms,35,9,"Inebriabuntur ab ubertate domus tuae, et torrente voluptatis tuae potabis eos:",ngram,direct_quote,1,,,0.0285,True,
Proslogion,26,"AN HOC SIT ""GAUDIUM PLENUM"", QUOD PROMITTIT DOMINUS.","tui, ""nec oculus uidit, nec auris audiuit, nec in cor hominis ascendit"". Nondum ergo dixi aut cogitaui, domine, quantum gaudebunt illi beati tui. Utique tantum gaudebunt, quantum amabunt; tantum amabunt, quantum cognoscent. Quantum te cognoscent, domine, tunc, et quantum te amabunt? Certe ""nec oculus uidit, nec auris audiuit, nec in cor hominis ascendit"" in hac uita,",1 Corinthians,2,9,"Sed sicut scriptum est: Quod oculus non vidit, nec auris audivit, nec in cor hominis ascendit, quae praeparavit Deus iis qui diligunt illum:",ngram,direct_quote,12,,,0.0909,True,
Proslogion,26,"AN HOC SIT ""GAUDIUM PLENUM"", QUOD PROMITTIT DOMINUS.","per filium tuum: Petite et accipietis, ut gaudium uestrum sit plenum. Inueni namque gaudium",John,16,24,"Usque modo non petistis quidquam in nomine meo: petite, et accipietis, ut gaudium vestrum sit plenum.",ngram,direct_quote,5,,,0.0675,True,
Proslogion,26,"AN HOC SIT ""GAUDIUM PLENUM"", QUOD PROMITTIT DOMINUS.","Deus meus et dominus meus, spes mea et",Psalms,34,23,"Exsurge et intende judicio meo, Deus meus; et Dominus meus, in causam meam.",ngram,direct_quote,2,,,0.0305,True,
Proslogion,26,"AN HOC SIT ""GAUDIUM PLENUM"", QUOD PROMITTIT DOMINUS.","trinus et unus deus ""benedictus in saecula. Amen"".",Romans,9,5,"quorum patres, et ex quibus est Christus secundum carnem, qui est super omnia Deus benedictus in saecula. Amen.",ngram,direct_quote,2,,,0.0479,True,
Proslogion,26,"AN HOC SIT ""GAUDIUM PLENUM"", QUOD PROMITTIT DOMINUS.","et accipietis, ut gaudium uestrum sit plenum. Inueni namque gaudium",1 John,1,4,"Et haec scribimus vobis ut gaudeatis, et gaudium vestrum sit plenum.",ngram,direct_quote,1,,,0.037,True,
Proslogion,26,"AN HOC SIT ""GAUDIUM PLENUM"", QUOD PROMITTIT DOMINUS.",ut gaudeam de te. Et si non possum in hac,Sirach,13,5,"Si largitus fueris, assumet te: et si non habueris, derelinquet te.",ngram,direct_quote,1,,,0.0245,True,
Proslogion,26,"AN HOC SIT ""GAUDIUM PLENUM"", QUOD PROMITTIT DOMINUS.","et unus deus ""benedictus in saecula. Amen"".",Romans,1,25,"qui commutaverunt veritatem Dei in mendacium: et coluerunt, et servierunt creaturae potius quam Creatori, qui est benedictus in saecula. Amen.",ngram,direct_quote,1,,,0.0542,True,
Responsio,5,Section 5,quo maius cogitari non possit. Quod si non est: utique,Job,24,25,"Quod si non est ita, quis me potest arguere esse mentitum, et ponere ante Deum verba mea?]",ngram,direct_quote,1,,,0.0581,True,
Responsio,5,Section 5,"esset similiter aliud, quomodo certum est de eo quod dicitur",Daniel,5,29,"Tunc, jubente rege, indutus est Daniel purpura, et circumdata est torques aurea collo ejus: et praedicatum est de eo quod haberet potestatem tertius in regno suo.",ngram,direct_quote,1,,,0.033,True,
Responsio,8,Section 8,"quia ""inuisibilia"" dei ""a creatura mundi per ea, quae facta sunt, intellecta conspicinntur, sempiterna quoque eius uirtus et diuinitas"".",Romans,1,20,"Invisibilia enim ipsius, a creatura mundi, per ea quae facta sunt, intellecta, conspiciuntur: sempiterna quoque ejus virtus, et divinitas: ita ut sint inexcusabiles.",ngram,direct_quote,9,,,0.108,True,
